iter	RMSE
0	2.078990969
1	1.907760432
2	1.744080651
3	1.607584631
4	1.470925565
5	1.359759772
6	1.246142791
7	1.146739427
8	1.056210878
9	0.9807509543
10	0.9078811942
11	0.8369470256
12	0.7794438033
13	0.721529465
14	0.6741353254
15	0.6206747543
16	0.5787351723
17	0.5387367452
18	0.5001426112
19	0.4633369335
20	0.4327765595
21	0.4063400748
22	0.3776828119
23	0.3548463035
24	0.3324440702
25	0.3098547729
26	0.2925915841
27	0.2737188124
28	0.2577775006
29	0.2437507957
30	0.2313788013
31	0.2197853308
32	0.2087478004
33	0.1994630873
34	0.1902263819
35	0.1830320913
36	0.1769935596
37	0.1706377994
38	0.1655248787
39	0.1603028703
40	0.155870266
41	0.1520229956
42	0.1490215637
43	0.1458333171
44	0.1427476794
45	0.1400561609
46	0.1375631544
47	0.1353973683
48	0.1338669755
49	0.1323792218
50	0.1309728256
51	0.1298390299
52	0.1286988923
53	0.1277087153
54	0.1270155239
55	0.1261984148
56	0.125545988
57	0.1248320299
58	0.1242370912
59	0.1237855974
60	0.1233360329
61	0.1228967411
62	0.1225045768
63	0.12216513
64	0.1219231682
65	0.121736882
66	0.1214330003
67	0.1211636356
68	0.1209432868
69	0.1207329081
70	0.1205476242
71	0.1199952677
72	0.1198216986
73	0.1196706538
74	0.1192448485
75	0.1191158819
76	0.1189741329
77	0.118878942
78	0.1185552471
79	0.1184067222
80	0.1180216511
81	0.1179164842
82	0.1178178959
83	0.1175355932
84	0.1172110517
85	0.1169903992
86	0.1167517166
87	0.1166732984
88	0.1163538586
89	0.1160110456
90	0.115944672
91	0.1156859638
92	0.1154644739
93	0.1153847927
94	0.1153139295
95	0.1150226288
96	0.1148193199
97	0.1147637604
98	0.1145507063
99	0.1144910446
